audio	sentence	gender	gender_domain	duration
221102-102320_nya_510_elicit_29	anthu atatu atakhala mozungulira tebulo akuyang ana mayi wina akugwedeza madzi obiriwira 	M	1	8.122
221102-102320_nya_510_elicit_30	bambo wina wachikulire atavala magalasi abuluu m mutu mwake ataima pafupi ndi gulu la anthu ena atavala zida zosambira 	M	1	11.071
221102-102320_nya_510_elicit_31	amuna ndi akazi ovala masuti osamba aima pafupi ndi dziwe pamene wosambira wina ali m madzi 	M	1	8.893
221102-102320_nya_510_elicit_33	galu woyera wokhala ndi makutu ofiirira akudumpha galu woyera akuthamanga kuchokera pamenepo 	M	1	12.251
221102-102320_nya_510_elicit_39	mwamuna ndi mkazi wake atavala makhoti zipewa komanso masikhafu ali pachipale chofewa 	M	1	9.233
221102-102320_nya_510_elicit_42	mnyamata akujambula atavala magolovesi odabwitsa kwambiri 	M	1	6.534
221102-102320_nya_510_elicit_46	bambo wina wovala kabudula wakuda t shirt yakuda komanso kapu yakuda yakumbuyo ya baseball akulankhula ndi bambo wina yemwe wavala malaya amizeremizere ndi kabudula ataimirira kumbuyo kwa lole 	M	1	17.514
221102-102320_nya_510_elicit_49	mayi wina wovala chigoba amakhala pafupi ndi bambo wina yemwe wavala suti ya santa komanso wovala chigoba pamene anyamula magalasi a vinyo pafupi ndi mtengo wa khrisimasi 	M	1	13.862
221113-081436_nya_394_elicit_0	anthu awiri oyenda ulendo onyamula zikwama aima kutsogolo kwa kanjira akuyang ana chinachake moleza mtima n kumadikira moleza mtima 	M	1	13.204
221113-081436_nya_394_elicit_1	mtsikana wina watsitsi lalitali labulauni akabudula oyera malaya apinki ndi nsapato zapinki amayenda pa swinglo likalowa dzuwa 	M	1	10.958
221113-081436_nya_394_elicit_2	anthu awiri akuyendetsa galimoto ya blue jet ski kusiya kanjira kamadzi m mwamba 	M	1	7.713
221113-081436_nya_394_elicit_3	mwamuna watsitsi lakumaso ndi chipewa akuyima pafupi ndi mkazi wovala chipewa chofiira kutsogolo kwa masitepe 	M	1	10.413
221113-081436_nya_394_elicit_4	amuna awiri ovala zipewa aima m njira pafupi ndi nyumba ya njerwa 	M	1	5.762
221113-081436_nya_394_elicit_5	galu wokhala ndi nthambi mkamwa mwake 	M	1	4.333
221113-081436_nya_394_elicit_6	galu wamng ono wa bulauni ndi woyera akugwira frisbee pa mpikisano 	M	1	6.239
221113-081436_nya_394_elicit_7	bambo wina wovala chipewa chopepuka chabuluu wakwera ngolo kumbuyo kwa nyama imene ikukoka ngoloyo 	M	1	9.46
221113-081436_nya_394_elicit_8	mayi wina amene wavala bulangete loyera kumutu ali ndi mwana atamukulunga ndi bulangete labuluu lapinki ndi lachikasu 	M	1	13.068
221113-081436_nya_394_elicit_9	mayi wovala mathalauza achikasu akugwada pafupi ndi khanda lovala chovala chabuluu 	M	1	8.054
221113-081436_nya_394_elicit_10	wothamanga panjinga yamoto akukhota panjira yonyowa 	M	1	4.991
221113-081436_nya_394_elicit_11	mayi wina wachiafirika wovala nduwira yabuluu akuwoneka ali ndi khanda 	M	1	8.78
221113-081436_nya_394_elicit_12	mayi wina wovala magiya okwera pamahatchi ofiira oyera ndi akuda ataimirira pafupi ndi bambo wina wachikulire wovala zofananira naye yemwe wakwera hatchi yabulauni panjira yadothi 	M	1	17.106
221113-081436_nya_394_elicit_13	galu wothamanga akuthawa atavala jeresi yachikasu ndi yakuda komanso pamphuno 	M	1	8.19
221113-081436_nya_394_elicit_14	munthu m modzi yemwe wavala sweatshirt yakuda yakuda akuthawa moto pomwe wina ali pafupi kumbuyo kwake 	M	1	9.959
221113-081436_nya_394_elicit_15	mayi wina yemwe ali ndi kachikwama kakuda ndi mnyamata akuyenda m njira 	M	1	7.055
221113-081436_nya_394_elicit_16	mwana atavala chisoti zofunda m zigongono 	M	1	5.853
221113-081436_nya_394_elicit_17	amuna awiri amaimba magitala pakati pa zida zoimbira 	M	1	5.172
221113-081436_nya_394_elicit_18	mwamuna wonenepa kwambiri akusewera gitala lamagetsi atavala chipewa choyera 	M	1	7.418
221113-081436_nya_394_elicit_19	mtsikana akudumphira m dziwe ndipo wazunguliridwa ndi thovu 	M	1	5.422
221113-081436_nya_394_elicit_20	mtsikana akutenga chithunzi cha mnzake yemwe watsamira patebulo 	M	1	6.261
221113-081436_nya_394_elicit_21	bambo wina wovala chipewa cha udzu malaya abuluu komanso mathalauza abuluu akukonza denga 	M	1	7.6
221113-081436_nya_394_elicit_22	wogulitsa nyama atavala magalasi ndi epuloni ya buluu amakonza timagulu ta nyama 	M	1	9.642
221113-081436_nya_394_elicit_23	amuna atatu oyera amacheza mozungulira nyama yayikulu yophika 	M	1	5.376
221113-081436_nya_394_elicit_24	chithunzi chojambulidwa usiku chamsewu ndi bambo akuyang ana mumsewu 	M	1	5.83
221113-081436_nya_394_elicit_25	mwana yemwe akumwetulira wovala t shirt yoyera yokhala ndi mikwingwirima ndi chigaza ndi mafupa opingasa akugwedezeka 	M	1	12.047
221113-081436_nya_394_elicit_26	mbalame yakuda imaima muudzu itanyamula mbalame pakamwa 	M	1	5.876
221113-081436_nya_394_elicit_27	munthu wakuda wavala magalasi adzuwa ndi malaya abuluu ndi malaya amkati oyera 	M	1	7.418
221113-081436_nya_394_elicit_28	munthuyu waima panja kufuna kupanga china chake ali ndi zida zake patebulo losakhalitsa ili ndipo azibambo angapo akumuyang ana 	M	1	13.045
221113-081436_nya_394_elicit_29	gulu la akuluakulu ndi ana ang onoang ono amakhala ndikuyima mozungulira matebulo kuseri kwa mulu wa mabokosi atatu 	M	1	12.024
221113-081436_nya_394_elicit_30	bambo wina wovala kabudula wonyezimira walalanje akusemphana ndi skateboard ndi ma cones momwe anthu awiri akuwonera kumbuyo kwake 	M	1	12.16
221113-081436_nya_394_elicit_31	galu woyera amalumphira pamwamba pa frisbee wofiira yemwe akugudubuza pamwamba pa munda wodula kwambiri 	M	1	10.254
221113-081436_nya_394_elicit_32	wogwira ntchito m fakitale amagwiritsa ntchito macheka patebulo kudula nsomba yaikulu yowuzidwa pakati 	M	1	11.275
221113-081436_nya_394_elicit_33	wogulitsa nyama wovala malaya achikasu akuyang ana nyama ya nsomba pabalaza lamatabwa 	M	1	8.19
221113-081436_nya_394_elicit_34	mayi wovala chisoti chanjinga komanso suti yotenthetsera atakhala paki akusinkhasinkha 	M	1	10.3
221113-081436_nya_394_elicit_35	mbalame yoyera ya khosi lalitali youluka imadya madzi ndi miyendo yakuda 	M	1	8.553
221113-081436_nya_394_elicit_36	banja lina lachikulire likucheza ndi mtsikana wamng ono ndipo onse akumwetulira 	M	1	7.078
221113-081436_nya_394_elicit_37	galu wakuda ndi wa blond akusewera kapena kumenyana wina ndi mzake 	M	1	6.67
221113-081436_nya_394_elicit_38	bambo wina wovala chipewa akusuta ndudu ndi gulu la anthu pafupi 	M	1	6.239
221113-081436_nya_394_elicit_39	mnyamata wovala jekete labuluu ndi kapu yotuwira akusewera ndi mpira 	M	1	6.806
221113-081436_nya_394_elicit_40	kuletsa mu sweetshirt yotuwa kumasankha masamba m sitolo 	M	1	6.919
221113-081436_nya_394_elicit_41	galu wamng ono akuyenda mu udzu panja 	M	1	3.539
221113-081436_nya_394_elicit_42	kamnyamata kakang ono kovala malaya obiriwira ndi abuluu atakhala m galimoto yomanga 	M	1	6.806
221113-081436_nya_394_elicit_43	kalulu wamkulu wagolide akudumphira pamwamba pa galu wina wamng ono wakuda 	M	1	7.033
221113-081436_nya_394_elicit_44	magalimoto amathamanga mozungulira bwalo la mpikisano galimoto yachikasu yomwe ili ndi nambala zisanu kenako nambala twenty two ndi nambala twenty nine 	M	1	13.567
221113-081436_nya_394_elicit_45	gulu la anthu likuyang ana mpikisano wokokera kumayambiriro ndikuwona moto wagalimoto 	M	1	9.755
221113-081436_nya_394_elicit_46	munthu ali ndi chigoba chomwe chimakhala ndi mphuno yofiira ndi bandanna yakuda pa nkhope yake 	M	1	8.78
221113-081436_nya_394_elicit_47	chithunzichi chikuchitika mkati mwa khitchini yaikulu yogulitsa malonda momwe anthu akupanga chowoneka ngati buledi 	M	1	11.729
221113-081436_nya_394_elicit_48	bambo wina wachikulire wa ku asia akuyang ana kamera pa gulu lalikulu la anthu 	M	1	6.329
221113-081436_nya_394_elicit_49	gulu la achinyamata likujambula chithunzi cha gulu pamene mwamuna akudumpha panjinga 	M	1	7.713
221028-144622_nya_394_elicit_0	gulu limodzi la akazi ndi gulu la amuna omwe amamwa ndi kusangalala 	M	1	7.033
221028-144622_nya_394_elicit_1	mayi wovala chovala chakuda ndi bulazi ya beige amayang ana zomwe zili mugalasi lake 	M	1	8.848
221028-144622_nya_394_elicit_2	mnyamata wovala malaya ovala akuyang ana pansi ali ndi gulu loimba ndi anthu ovina kumbuyo kwake 	M	1	7.623
221028-144622_nya_394_elicit_3	bambo yemwe ali ndi malaya oyera m mwamba ndi bulawuti woderapo akusewera ng oma 	M	1	7.396
221028-144622_nya_394_elicit_4	bambo wa blond wandevu wagwira dzanja la mkazi wa tsitsi lapinki pakati pa anthu omwe anali pa konsati 	M	1	8.235
221028-144622_nya_394_elicit_5	gulu laling ono lopangidwa ndi anyamata achichepere four ali pakati pakuchita 	M	1	6.715
221028-144622_nya_394_elicit_6	wotsetsereka akugwedezeka kuchokera kuseri kwa magalasi pa chizindikiro chokha cha akatswiri pamene mapiri atakutidwa ndi chipale chofewa akudzaza mlengalenga chakumbuyo 	M	1	18.944
221028-144622_nya_394_elicit_7	azimayi atatu amavina atakumbatirana mapewa pamene gulu loimba likusewera pa siteji 	M	1	9.687
221028-144622_nya_394_elicit_8	osewera akusewera ndi ng oma wamkulu akukweza ng oma zake kuti aukire membala wina 	M	1	8.462
221028-144622_nya_394_elicit_9	mnyamata yemwe ali ndi magalasi ndi chipewa akusewera gitala yamagetsi atawerama pa studio 	M	1	8.938
221028-144622_nya_394_elicit_10	azimayi awiri amavinira limodzi kutsogolo kwa gulu loimba komanso chikwangwani cholembedwa kuti live in concert 	M	1	10.731
221028-144622_nya_394_elicit_11	jazz quartet pa siteji yakuda imasewera nyimbo ndikusangalatsa wovina wamwamuna yekhayo atavala malaya oyera okhala ndi zofiira ndi zakuda pamene mwamuna wa tsitsi lakuda ndi masharubu akuyang ana kumbali 	M	1	18.671
221028-144622_nya_394_elicit_12	gulu la oimba akuimba m chipinda pamaso pa khamu la anthu kuphatikizapo mwamuna mmodzi wovala jekete ya cheki ndi mtsikana wa tsitsi lapinki 	M	1	12.387
221028-144622_nya_394_elicit_13	bambo wina wovala ma suspenders ndi chipewa cha fedora akusewera kiyibodi ndikuyimba kusangalatsa khamu la anthu 	M	1	10.753
221028-144622_nya_394_elicit_14	mwamuna wovala malaya ofiira akukokera kalavani kakang ono kodzaza ndi zitsulo zachitsulo pamwamba pake 	M	1	11.479
221028-144622_nya_394_elicit_15	mlatho ndi mkwati akuvina mwamwayi paphwando 	M	1	6.42
221028-144622_nya_394_elicit_16	mayi wina watsitsi lofiirira atavala malaya oyera waima pakhomo atazunguliridwa ndi madengu pamene mkazi wovala malaya ofiira akudutsa 	M	1	11.162
221028-144622_nya_394_elicit_17	anthu ochokera kumudzi wina akusonkhanitsa zinthu 	M	1	5.082
221028-144622_nya_394_elicit_18	anthu ambiri amasonkhanitsa mabotolo a mowa ndi zipewa mu milu mu fuko losauka 	M	1	8.054
221028-144622_nya_394_elicit_19	gulu la anthu lazungulira mayi wina atanyamula cholembera ndi pensulo 	M	1	6.171
221028-144622_nya_394_elicit_20	mwamuna wovala malaya a beige atakhala pampando wamchenga atagwira ukonde woyera 	M	1	7.214
221028-144622_nya_394_elicit_21	munthu wakuda wavala chipewa cha buluu wotuwa ndi malaya achikasu wakhala pampando akuwala nsapato 	M	1	9.324
221028-144622_nya_394_elicit_22	mwamuna wina wa ku africa akukankha ngolo yolemera kwambiri yodzaza ndi katundu 	M	1	7.668
221028-144622_nya_394_elicit_23	gulu la akazi anayi ovala mwachikhalidwe akupereka chidziwitso kwa mayi wachisanu wa chikhalidwe chofanana 	M	1	11.298
221028-144622_nya_394_elicit_24	azimayi atatu omwe ali ndi mapanga m mutu akukumba dothi 	M	1	5.082
221028-144622_nya_394_elicit_25	mayi wotukuka wofunda kumutu akuyang ana pepala atayima padothi 	M	1	6.261
221028-144622_nya_394_elicit_26	anthu amenewa ovala zovala zokongola komanso ena atanyamula madengu akuyenda paulendo wawo wachipembedzo pobwerera kwawo kuchokera kumsika 	M	1	14.247
221028-144622_nya_394_elicit_27	anthu anayi amayenda mozungulira malo oimika magalimoto kutsogolo kwa nyumba yokongola kwambiri pomwe dzuwa likutuluka kumbuyo kwake 	M	1	12.568
221028-144622_nya_394_elicit_28	mwana atagona pa chipatala chachipatala pafupi ndi tv monitor yomwe idayikidwa pakhoma 	M	1	9.551
221028-144622_nya_394_elicit_29	bambo wina wovala jekete la buluu akutsegula kwambiri maso ake aakulu abuluu pamene munthu wina kumbuyo kwake akutseka maso ake akutseka pakamwa pake 	M	1	11.82
221028-144622_nya_394_elicit_30	mnyamata wakuda ndi sweti ya lalanje paphewa pamaso pa mulu wa zipatso mumsewu 	M	1	7.986
221028-144622_nya_394_elicit_31	azimayi asanu ovala nsonga zofiira zofiira ndi masiketi amfupi akuda amaima kutsogolo kwa galimoto yamasewera 	M	1	11.502
221028-144622_nya_394_elicit_32	mayi wina yemwe waima kutsogolo kwa khoma atanyamula chitini cha bud light atamanga malaya ake pa kansalu kakang ono 	M	1	11.411
221028-144622_nya_394_elicit_33	anyamata ang onoang ono awiri akusewera mpira ndipo akulimbirana kuwongolera mpira m bwalo la mpira lomwe lili ndi magalimoto kumbuyo 	M	1	11.116
221028-144622_nya_394_elicit_34	mnyamata wovala vest ali pamoto ndipo akuloza chala akumwetulira munthu wina 	M	1	6.647
221028-144622_nya_394_elicit_35	amuna ankhondo ovala masuti abuluu ndi ofiira amaima mumsewu 	M	1	5.467
221028-144622_nya_394_elicit_36	bambo wina wa ku asia wovala malaya oyera ananyamula mutu wa chinjoka wabodza womwe unali utakutidwa ndi zonyezimira usiku pamene anthu ena ankachita nawo paradeyo kapena kuyang ana 	M	1	20.373
221028-144622_nya_394_elicit_37	mtsikana wina atakhala pampando pafupi ndi mtengo ndipo wina waima pambali pake m mphepete mwa msewu 	M	1	7.26
221028-144622_nya_394_elicit_38	munthu akuyenda kamng ono woyera ndi galu wamkulu woyera pazingwe 	M	1	8.394
221028-144622_nya_394_elicit_39	mnyamata wakuda paphiri m dziko lachilendo akuloza chinachake 	M	1	5.195
221028-144622_nya_394_elicit_40	mayi akugwira ntchito mwamtendere kupanga mphasa yokongola komanso yokongola pomwe mwana wawo wamwamuna amasilira luso lake 	M	1	13.022
221028-144622_nya_394_elicit_41	mayi akuyang ana kachikwama kake ali panja pa cafe 	M	1	6.692
221028-144622_nya_394_elicit_42	misana ya mitu ya amuna awiri omwe akutseka makutu awo pamene akukwera sitima yapansi panthaka 	M	1	9.755
221028-144622_nya_394_elicit_43	mwana yemwe ali ndi zotchingira mphepo za buluu akukwera m miyala ingapo 	M	1	7.441
221028-144622_nya_394_elicit_44	gulu la anthu ogwira ntchito ovala mayunifolomu abuluu likuguba motsatira njira 	M	1	8.507
221028-144622_nya_394_elicit_45	bambo akugwira ntchito yoboola mumtsinje ndi makina obowola a munthu mmodzi 	M	1	8.258
221028-144622_nya_394_elicit_46	mwamuna wovala t sheti yoyera ndi magalasi akuda otetezera akugwira ntchito ndi botolo lagalasi m sitolo yokhala ndi khoma la miyala 	M	1	12.342
221028-144622_nya_394_elicit_47	gulu la ochita zisudzo likukopa chipinda chodzaza ndi omvera ndi zolemba zawo za nyimbo 	M	1	9.619
221028-144622_nya_394_elicit_48	anthu omwe ali pakhonde akumulamulira munthu wa kabudula woyera ngati chidole 	M	1	7.26
221028-144622_nya_394_elicit_49	munthu wogwada akuweramitsa khutu lake kuti amvetsere mnzake ali kutsogolo kwa gitala ndi zida zomvetsera 	M	1	9.392
221026-111146_nya_394_elicit_0	anthu asanu ndi mmodzi akhala mumtsinje wosaya akumanga nyumba zamatope 	M	1	7.418
221026-111146_nya_394_elicit_1	atsikana awiri achichepere akuseka mwaphokoso pamene akusewera ndi malaya awo ogona 	M	1	7.872
221026-111146_nya_394_elicit_2	anyamata awiri pabalaza pabalaza atagwirana manja moyang anizana uku akudumpha m mwamba ndikukankha miyendo kumbuyo 	M	1	13.294
221026-111146_nya_394_elicit_3	msungwana wovala jumpsuit yobiriwira ndi magalasi okhala ndi dzuwa lokongola kumbuyo 	M	1	7.94
221026-111146_nya_394_elicit_4	azimayi awiri ovala zovala zogona ali gone pansi akuseka 	M	1	4.764
221026-111146_nya_394_elicit_5	njovu yanyamula chinachake m chitamba mwake ndipo yaphimbidwa ndi nsalu yowala kwambiri 	M	1	9.369
221026-111146_nya_394_elicit_6	bambo wina amene wavala juzi la tan wakhala pansi akuimba violin yake pogwiritsa ntchito mpando ngati choimbirapo nyimbo 	M	1	10.799
221026-111146_nya_394_elicit_7	mwamuna yemwe ali ndi thanki yachikasu pamwamba ndi mnzake wovala malaya oyera fufuzani grill 	M	1	8.53
221026-111146_nya_394_elicit_8	asilikali omwe ali m chipululu komanso ovala zida zonse amadziwonetsera ngati gulu pafupi ndi tsinde la mbendera 	M	1	10.186
221026-111146_nya_394_elicit_9	mkwatibwi wovala chovala chofiira ndi mkwatibwi mu tuxedo akukondwerera ukwati wawo 	M	1	7.6
221026-111146_nya_394_elicit_10	gulu la amuna ovala masuti akuyenda mumsewu wa paki 	M	1	4.083
221026-111146_nya_394_elicit_11	nkhalamba ndi gogo wopaka tsitsi akuseka nthabwala atakhala moyandikana patebulo 	M	1	7.645
221026-111146_nya_394_elicit_12	bambo atakwera ma escalator atanyamula kapu yofiira ndi yoyera akuyang ana mmwamba 	M	1	6.874
221026-111146_nya_394_elicit_13	mtsikana wovala malaya ofiira komanso mnyamata wovala juzi lobiriwira akusewera nintendo 	M	1	7.781
221026-111146_nya_394_elicit_14	pali anthu angapo akuyang ana munthu mumlengalenga ndi mlengalenga mozunguliridwa ndi mapiri ndi matalala 	M	1	9.574
221026-111146_nya_394_elicit_15	amuna asanu ovala zoyera akukwera pa njovu zopakidwa utoto wonyezimira 	M	1	7.078
221026-111146_nya_394_elicit_16	munthu wakwera njovu pamene wina akugwira mutu wa njovu 	M	1	5.921
221026-111146_nya_394_elicit_17	gulu la akazi ovala malaya ofiira akuimba limodzi 	M	1	4.378
221026-111146_nya_394_elicit_18	goli wovala jersey yabuluu akugwira mpira wosewera mpira wovala jeresi yofiyira 	M	1	9.46
221026-111146_nya_394_elicit_19	munthu wa magalasi adzuwa akabudula a buluu ndi malaya oyera akumenya mpira wa tenisi 	M	1	7.123
221026-111146_nya_394_elicit_20	gulu la anthu asanu ambiri a iwo anali ana atayima paphiri akuyang ana kanyama kakang ono 	M	1	7.94
221026-111146_nya_394_elicit_21	agalu awiri oyera akusewera ndi mpira walalanje mu udzu wouma 	M	1	5.898
221026-111146_nya_394_elicit_22	anthu angapo amajambula zithunzi ndi ma tripod mu chipale chofewa 	M	1	6.08
221026-111146_nya_394_elicit_23	ana asanu akuthamanga mumsewu wokutidwa ndi chipale chofewa 	M	1	5.445
221026-111146_nya_394_elicit_24	mnyamata wovala chovala chakuda akukwera paphiri lachisanu pa sled wofiira 	M	1	7.691
221026-111146_nya_394_elicit_25	pali mayi wina amene wakhala pamalo onyezimira kwambiri mutu wake utaweramira pang ono ndipo anthu ena atakhala pamalo omwewo 	M	1	11.525
221026-111146_nya_394_elicit_26	amuna awiri akuphika chakudya pakona ya msewu 	M	1	4.469
221026-111146_nya_394_elicit_27	owotcherera amapanga zidutswa zina za nyumba yabwino yomwe ili ndi maambulera alalanje 	M	1	9.438
221026-111146_nya_394_elicit_28	amuna anayi ovala zovala zofiira zokhala ndi mitanda akuthamanga paphiri 	M	1	6.67
221026-111146_nya_394_elicit_29	galu wabulauni akuthamanga panjira ya chipale chofewa 	M	1	4.287
221026-111146_nya_394_elicit_30	galu woyera ndi galu wakuda ndi woyera akuthamanga mu udzu 	M	1	5.422
221026-111146_nya_394_elicit_31	wodzigudubuza akupera pa nsanja yopapatiza pamalo ochitira masewera olimbitsa thupi m nyumba 	M	1	9.801
221026-111146_nya_394_elicit_32	amuna awiri aima akugubuduza mabokosi achikuda pomwe amuna ena ayima pakhonde 	M	1	9.596
221026-111146_nya_394_elicit_33	ana akusewera pabwalo lamasewera akutsetsereka pansi pa slide 	M	1	6.261
221026-111146_nya_394_elicit_34	gulu la amayi akugulitsa zinthu zawo zopangira kunyumba ndi maambulera pamsika wakunja 	M	1	9.46
221026-111146_nya_394_elicit_35	munthu akukwera njinga kudera la mitengo ndi masamba akugwa 	M	1	6.579
221026-111146_nya_394_elicit_36	munthu wovala zovala zakuda akusefukira pansi pa phiri lokutidwa ndi chipale chofewa 	M	1	6.987
221026-111146_nya_394_elicit_37	galu woyera amayenda m kanjira kamene kali ndi chipale chofewa chopyapyala 	M	1	7.237
221026-111146_nya_394_elicit_38	amonke awiri ovala mikanjo yamtundu wa safironi amawoloka msewu wotanganidwa wa m tauni kumene magalimoto amitundumitundu ena apinki abuluu ndi achikasu amadikirira pampata woti amuna awoloke 	M	1	18.354
221026-111146_nya_394_elicit_39	mwamuna wina wachiarabu akutsogolera ngamila zitatu kudutsa mulu wa mchenga womwe unali ndi miyala 	M	1	10.617
221026-111146_nya_394_elicit_40	mwamuna ndi mkazi atavala chophimba kumutu atembenuza kamera ya kanema pawokha 	M	1	8.916
221026-111146_nya_394_elicit_41	munthu wovala malaya ofiira panjinga yofiira pamaso pa anthu ena awiri panjinga 	M	1	8.054
221026-111146_nya_394_elicit_42	azimayi asanu adasonkhana kuti aziyimba zida zamatabwa ndi zingwe pabalaza la munthu wina 	M	1	10.05
221026-111146_nya_394_elicit_43	mnyamata akuyenda mozungulira tsinde la nyumba yake yomwe idamangidwa ndi miyala m mapazi ake opanda kanthu 	M	1	11.593
221026-111146_nya_394_elicit_44	bambo yemwe wavala sweti yowala yabuluu yofanana ndi yemwe wakhala naye pafupi akugwiritsa ntchito foni yam manja 	M	1	10.731
221026-111146_nya_394_elicit_45	munthu wovala suti yakuda akumasambira m nyanja ndi mafunde akutsika 	M	1	5.376
221026-111146_nya_394_elicit_46	kamnyamata kakang ono kovala malaya abuluu owala wagwira nyundo yofiira 	M	1	6.624
221026-111146_nya_394_elicit_47	kamnyamata kamene kali ndi baji ya dzina pa jekete yake yakuda akusewera ndi nyundo ndi macheka ozungulira pafupi ndi kulungamitsidwa kwa kapeti 	M	1	13.589
221026-111146_nya_394_elicit_48	mnyamata wovala malaya achikasu ndi akuda amafika ku chipale chofewa 	M	1	6.42
221026-111146_nya_394_elicit_49	kamnyamata kakang ono kovala mathalauza a khaki akuwonetsa bambo ake maswiti odzaza ndi maswiti 	M	1	9.982
221114-055325_nya_626_elicit_1	tsekwe wamkulu akugwedeza mapiko ake pamene akutuluka m madzi 	F	0	9.619
221114-055325_nya_626_elicit_3	bambo akuyang ana pa kamera akujambula chithunzi ndi dzanja lake atakumbatira mayi yemwe akuyang ana kumbali 	F	0	12.115
221114-055325_nya_626_elicit_4	galu woyera pamaso pa munthu amene waima m madzi akudumpha 	F	0	6.148
221114-055325_nya_626_elicit_5	galu wabulauni wokhala ndi kolala wabulauni akukumba mumchenga 	F	0	5.966
221114-055325_nya_626_elicit_7	oimba ena ovala zovala zachibadwidwe cha ku america akuimba zida zachikhalidwe 	F	0	10.89
221114-055325_nya_626_elicit_8	pokhala ndi nsonga zokhotakhota chakumbuyo bambo wina wovala jinzi ndi t sheti yofiirira akudumphira pamutu pamilu ya matiresi okutidwa ndi mapepala 	F	0	19.987
221114-055325_nya_626_elicit_10	oombeza njoka atatu aima mumsewu pamene wina amakoka njoka m bokosi ndipo njoka ina yaikulu ikubweza mutu wake kutsogolo 	F	0	15.949
221114-055325_nya_626_elicit_11	mwamuna akudumpha njinga yofiira ndi yakuda mu park skate park 	F	0	6.534
221114-055325_nya_626_elicit_12	mwamuna wovala zovala zazing ono akudumpha panjinga yofiira 	F	0	5.513
221114-055325_nya_626_elicit_13	wokwera njinga yamoto yothamanga wagwa panjinga yake ndipo akutsetsereka pansi pomwe wokwera wina akuyendetsa kumbuyo 	F	0	13.907
221114-055325_nya_626_elicit_14	azimayi akukwera pamahatchi m bwalo lamasewera atanyamula mbendera za canada ndi united states 	F	0	9.233
221114-055325_nya_626_elicit_16	ng ombe yamphongo ikuthamangitsa wokwerapo pamene anyamata ena angapo akuyesera kuiletsa 	F	0	10.753
221114-055325_nya_626_elicit_17	mtsikana wina akukweza mawu ake poimba nyimbo m munda pafupi ndi nyumba yakale yamatabwa 	F	0	11.729
221114-055325_nya_626_elicit_18	anthu atatu aimirira pampanda akuyang ana mzinda womwe uli ndi zinyumba zosanja kwambiri pomwe wina akuyang ana pawonedwe kawonedwe ka filimu 	F	0	18.263
221114-055325_nya_626_elicit_20	uyu ndi dona yemwe wavala chovala cha buluu wavala nsapato zoyera ndi blue shoes atanyamula racket ya tenisi m manja mwake 	F	0	13.521
221114-055325_nya_626_elicit_21	munthu waima ndi ziboliboli ziwiri zamiyendo ndipo wavala mathalauza opindika ndi malaya akuda 	F	0	13.385
221114-055325_nya_626_elicit_23	mnyamata wamng ono wovala malaya amizeremizere yoyera ndi bandeji kumutu atanyamula racket ya tenisi 	F	0	9.801
221114-055325_nya_626_elicit_24	woseweretsa wovala malaya okongola komanso chipewa choweta ng ombe akukweza manja ake pagulu la anthu 	F	0	11.797
