speaker_id	audio	sentence	gender	gender_domain	duration
3	221114-053225_nya_626_elicit_31	wokwera njingayo wavala jekete lachikasu ndi chisoti chabuluu pamene akukwera mumsewu m nyengo yozizira 	F	0	10.96
2	221101-144049_nya_394_elicit_11	bambo akuyang anira chiselele cha agalu akuyandikira gulu lina la agalu m kanjira kakang ono komwe kuli chipale chofewa pakati pa mitengo iwiri 	M	1	14.04
2	221030-125341_nya_394_elicit_28	bambo wina wovala chipewa komanso ndevu akuyang ana kamera yomwe ili ndi azimayi awiri atakhala pampando pafupi ndi iye 	M	1	10.16
2	221030-132751_nya_394_elicit_10	bambo wina akupereka malangizo pamalo otera helikoputala yomwe ili m chonyamulira ndege 	M	1	9.51
2	221026-111146_nya_394_elicit_46	kamnyamata kakang ono kovala malaya abuluu owala wagwira nyundo yofiira 	M	1	6.62
7	221025-225254_nya_b6c_elicit_31	mayi wamutu wofiyira atanyamula pulasitiki yowoneka bwino pagawo lina la tsitsi lake pomwe wina akuyendetsa zala zake tsitsi lake 	F	0	13.86
11	221018-125424_nya_e3d_elicit_23	munthu yemwe ali muzovala zothamanga komanso chisoti akusefukira ali pamalo otsetsereka 	F	0	11.53
3	221114-063718_nya_626_elicit_34	atsikana awiri ovala malaya achikasu m modzi wovala malaya obiriwira ndipo womaliza wovala pinki aliyense akuyang ana kumbali 	F	0	14.75
3	221114-085051_nya_626_elicit_14	galu woyera wokhala ndi makutu ofiirira akuthamanga m mbali mwa msewu 	F	0	10.39
2	221028-153920_nya_394_elicit_4	gali yokongola yokhala ndi buluu pamwamba ndi yobiriwira yokhala ndi mitambo yapinki pansi itakhala kutsogolo kwa mpanda wakunyumba ndipo imalemba kuti jaguar kutsogolo 	M	1	17.36
7	221026-002221_nya_b6c_elicit_47	mphesa akugwedeza ndi kumwetulira kumbuyo kwa agalu ake omwe akuthamanga mu chipale chofewa 	F	0	20.92
2	221026-143340_nya_394_elicit_4	amuna awiri amayendetsa sitima yapamadzi yothamanga kwambiri kutsogolo kwa ngalawa 	M	1	6.99
7	221026-002221_nya_b6c_elicit_1	mwamuna wovala magalasi ndi malaya abuluu akuyenda m nkhalango yowirira 	F	0	9.82
2	221022-142238_nya_394_elicit_15	bambo wina akuyang ana m nyanja n kudikirira pa benchi kuti aone zombo ziwiri zikuluzikulu 	M	1	10.82
2	221101-121530_nya_394_elicit_14	mayi wina wa ku spain akugwira ntchito yokonza masamba obiriwira osiyanasiyana pamsika 	M	1	7.53
4	221112-003159_nya_626_elicit_14	anthu awiri akuyang ana njinga zamoto ziwiri zofiira pamalo pomwe pali zojambula zachipembedzo pakhoma 	F	0	12.36
2	221028-134716_nya_394_elicit_46	munthu wakhungu lakuda wavala malaya oyimilira pafupi ndi ngolo yokhala ndi tirigu ndi zokolola 	M	1	9.87
2	221030-141802_nya_394_elicit_19	wachikulire wovala zingwe amakwera pamalo amiyala 	M	1	4.92
2	221030-095301_nya_394_elicit_35	amuna awiri ovala malaya abulauni ndipo mkazi ali panja ndi agalu awiri akuda 	M	1	8.14
2	221030-105310_nya_394_elicit_17	mwana pa msinkhu wa kugwedezeka 	M	1	3.08
2	221030-152551_nya_394_elicit_44	kukankha makina otchetcha omwe ndi aakulu kwambiri kwa iye kamnyamata kakang ono akuyesa kudula udzu 	M	1	11.25
4	221112-005507_nya_626_elicit_11	anyamata awiri akugwira magalasi pomwe amatha kuona chidindo chikusambira 	F	0	9.69
2	221101-175728_nya_394_elicit_17	helicopters ikuuluka pansi kwambiri pamwamba pa mabwato ang onoang ono m madzi mozunguliridwa ndi utsi 	M	1	10.44
2	221030-125341_nya_394_elicit_1	bambo wina wovala mathalauza akuda ndi malaya oyera akugwira ntchito m khitchini yodyeramo chakudya ndi mabotolo atatu avinyo pa kauntala kumanja kwake ndi mbale zotsuka mbale kumanzere kwake 	M	1	18.81
2	221101-103229_nya_394_elicit_32	mayi wina atavala malaya amizeremizere yofiira ndi yoyera kunja kwake atazunguliridwa ndi mitengo 	M	1	7.05
2	221113-090125_nya_394_elicit_23	pano pali chithunzi cha ogwira ntchito yomanga akukonzekera kupita kukagwira ntchito pamalo okwera 	M	1	8.46
2	221028-153920_nya_394_elicit_15	munthu akutsetsereka kuchoka pa ng ombe yomwe anali kuikwera akumira m thambi lamatope lomwe linali pakati pa mphete yadothi 	M	1	11.53
2	221111-183608_nya_394_elicit_49	gulu la azibambo ndi azimai akuyenda mtsinji ouma ozala ndi myala yaikulu omwe mupita madzi kuchoka kuzipupa za myala ziwiri mu chili lalikulu lotimba 	M	1	17.4
2	221028-135800_nya_394_elicit_7	bambo wina wa ku india yemwe wakhala panja pa chitseko chake atagona ndi nsapato imodzi ndipo m modzi mwa anthu awiri atakhala kumapeto kwa nyumbayo ndipo mwana wina wayimirira 	M	1	15.54
11	221018-125424_nya_e3d_elicit_21	wosewera mpira wovala yunifolomu yamtambo wabuluu wokhala ndi miyendo yotambasula 	F	0	12.5
2	221029-180426_nya_394_elicit_42	mtsikana wina wovala zovala zosambira waima m madzi opoperapo njinga kumbuyo kwake 	M	1	8.53
4	221111-234816_nya_626_elicit_6	ma raft awiri amtundu wa buluu akuwombana pamadzi oyera 	F	0	6.15
2	221030-114647_nya_394_elicit_33	bambo wovala chipewa chakuda chokoka ng ombe akujambula chala chake pamchenga 	M	1	6.83
2	221101-152830_nya_394_elicit_2	wantchito wokwezedwa pachinthu china akuyesera kukonza mtengo pafupi ndi zenera 	M	1	6.94
2	221023-163538_nya_394_elicit_48	mzimayi atavala nsonga yobiriwira komanso kamtsikana kopanda malaya akusewera ndi zidole zokhala patebulo losanjanjika 	M	1	9.89
2	221028-132706_nya_394_elicit_46	mwamuna wovala zovala zofiira ali ndi chipewa chaubweya lupanga ndi mpeni pa lamba wake atanyamula nkhwangwa ndipo kumbuyo kwake kunali anthu osawoneka bwino 	M	1	15.34
3	221114-084253_nya_626_elicit_25	wosewera mpira yemwe ali ndi mpira amamenyedwa ndi wosewera mpira wa timu yopikisana nawo 	F	0	12.05
2	221030-163139_nya_394_elicit_8	mbalame ikuuluka mumlengalenga pamene ana akusewera pagombe 	M	1	5.94
3	221114-055325_nya_626_elicit_37	wosambira mu suti yonyowa amayala pa bolodi lake mkati mwa utsi wa m nyanja 	F	0	12.95
3	221114-090743_nya_626_elicit_40	gulu la anthu likutsogoleredwa paulendo wakunja ndi wotsogolera alendo wachikulire 	F	0	10.07
4	221111-222234_nya_626_elicit_31	pali galu wamtundu wapakati pa chipale chofewa 	F	0	4.63
2	221030-154054_nya_394_elicit_35	msodzi ali m bwato la buluu amayang ana momwe madzi akuyendera 	M	1	6.92
7	221026-002221_nya_b6c_elicit_8	mkazi wokhala ndi mutu wabuluu ndi mnyamata wovala mutu amapanga chizindikiro cha mtendere ndi zala zawo 	F	0	12.39
2	221029-180426_nya_394_elicit_14	pali atsikana awiri omwe amavala zovala zolimbitsa thupi omwe ali pampando pano 	M	1	6.42
2	221030-163139_nya_394_elicit_18	pamalo ochitirako zisangalalalo mtsikana wina amayesa kupambana nyama yodzaza ndi zinthu mwa kusewera limodzi la maswerawo 	M	1	13.32
2	221028-131629_nya_394_elicit_33	wosewera mpira wovala yunifolomu yoyera akuyenda pansi pomwe khamu la anthu likuyang ana kuchokera ku bleachers 	M	1	10.55
2	221026-093143_nya_394_elicit_49	atsikana asanu ovala malaya oyera ndi masiketi opendekeka aima m kanjira komwe kuli udzu pafupi ndi madzi ambiri pamene mwamuna wovala chipewa wakhala chakumbuyo 	M	1	15.65
2	221026-143340_nya_394_elicit_38	galu wakuda ndi woyera agwira mpira wa tenisi mkamwa mwake 	M	1	6.42
4	221111-233812_nya_626_elicit_35	munthu wovala zakuda ndi zoyera wanyamula chikwangwani chake cha tenisi kudikirira mpira 	F	0	8.14
2	221026-093143_nya_394_elicit_30	mtsikana watsitsi lofiirira atavala juzi lobiriwira akusakaniza chinthu chachikasu mu kapu yoyezera pyrex ndi whisk 	M	1	13.09
3	221114-063718_nya_626_elicit_44	anthu awiri okwera mapiri akuyenda m kanjira komwe kuli mapiri a chipale chofewa kumbuyo kwawo 	F	0	10.89
2	221112-185920_nya_394_elicit_21	mzibambo wamalaya ofiira ndi magalasi wa weramila pansi pafupi ndi kagalu kang ono kali mabulangete yamaonekedwe ambiri za nyama 	M	1	12.41
7	221026-000800_nya_b6c_elicit_11	bambo akugwira ntchito kuseri kwa malo ojambulidwa ndi tepi caution pamalo okwerera masitima apamtunda 	F	0	12.5
3	221114-070800_nya_626_elicit_25	anthu angapo akuvina m makwalala a mumzinda ndipo anthu ambiri akumavina 	F	0	9.62
3	221114-070800_nya_626_elicit_40	agalu awiri akusewera ndikuwoneka akukumbatirana mu chipale chofewa 	F	0	9.87
3	221114-063718_nya_626_elicit_39	mnyamata wovala malaya ofiira akukwera pa skateboard mwamsanga mumsewu 	F	0	9.16
2	221028-155804_nya_394_elicit_38	bambo wina wovala suti ya bizinesi wakhala pampando walalanje patebulo lalitali ndipo akugwiritsa ntchito kompyuta mu laibulale 	M	1	12.07
3	221114-061605_nya_626_elicit_7	bambo wina wovala malaya abuluu akuponya mpira pamalo obiriwira 	F	0	6.81
2	221111-183608_nya_394_elicit_4	labu wa chokoleti wajumpa mwocendwa kuti atenge choseweretsa pomwe wina labu wacigwira moyedetsa 	M	1	12.36
3	221114-063718_nya_626_elicit_7	wojambula ajambulitsa chithunzi cha mayi wina atavala diresi labuluu akudumphira m madzi osaya m mphepete mwa nyanja ndi matanthwe amiyala kumbuyo kwake 	F	0	20.49
3	221114-060739_nya_626_elicit_33	mwamuna wovala malaya akuda ndi chipewa atanyamula khanda logona ndi mtundu wachikasu waku afghanistan 	F	0	10.57
7	221026-000800_nya_b6c_elicit_30	anyamata awiri atsitsi akudikirira akudikirira panja atavala zovala zofunda ndi zikwama 	F	0	10.55
4	221111-233812_nya_626_elicit_32	galu wabulauni akugona pamunda waudzu pamene mphepo ikuwomba ubweya wake 	F	0	8.67
4	221112-003159_nya_626_elicit_36	mnyamata wokwera njinga yamapiri akutera atadumpha atakwera m nkhalango 	F	0	8.71
11	221018-113735_nya_e3d_elicit_4	bambo wina wovala malaya abuluu akulankhula ndi munthu wovala malaya abuluu patebulo lodzala ndi mankhwala 	F	0	14.02
2	221113-072748_nya_394_elicit_38	wapolisi wovala chipewa choyera vest yachikasu ndi mathalauza abuluu waima pamzerewu pomwe magalimoto oyaka moto angapo ofiira ndi achikasu ali mumsewu mbali zonse 	M	1	16.86
7	221026-004257_nya_b6c_elicit_34	mayi wovala mpango wofiira akumwetulira kutsogolo kwa phiri 	F	0	6.28
3	221114-062550_nya_626_elicit_30	mwamuna wina wovala jeans wabuluu atakhala paphewa la munthu wina pamene akucheza ndi mkazi woimba pa siteji pa konsati 	F	0	11.8
4	221111-234816_nya_626_elicit_31	bambo wina wovala malaya apinki ndi achikasu komanso chomangira chabuluu kumutu ali ndi mpikisano wamasewera a tenisi ali chilili chotsegula kukamwa 	F	0	16.72
3	221114-071739_nya_626_elicit_7	mkazi wovala malaya ofiira ndi mwamuna wovala malaya oyera ndi akuda ndi galu wakuda mu chipale chofewa 	F	0	9.55
8	221010-174337_nya_97d_elicit_12	pali anthu awiri akum mawa ovala mikanjo atayima pafupi ndi mashelufu 	F	0	9.73
2	221113-080157_nya_394_elicit_4	ana ang onoang ono ang onoang ono ang onoang ono ang onoang ono ang onoang ono ang onoang ono amavala akabudula akugwedezeka palimodzi panja panja 	M	1	9.73
2	221030-160514_nya_394_elicit_29	mayi wina wa ku asia akujambula chithunzi kunja kwa nyumba ina yoyera 	M	1	6.08
2	221028-131629_nya_394_elicit_28	gulu la ana akuda akupalasa ngalawa zongopanga tokha kudutsa pamadzi ambiri 	M	1	8.71
2	221028-164751_nya_394_elicit_12	mayi ali padoko atavala zazifupi ndi thanki pamwamba ndi madzi abuluu kumbuyo 	M	1	8.05
2	221029-170522_nya_394_elicit_47	mmodzi wa brunette wokhala ndi tsitsi mu bun ali pafupi ndi zidebe zamitundu ndipo wavala hoodie ndi chidole chopetedwa pa hood 	M	1	12.39
2	221030-115956_nya_394_elicit_35	mayi wovala jekete lofiira ali ndi galasi ndipo ali pamaso pa mwamunayo atavala t shirt yoyera 	M	1	6.94
3	221114-081628_nya_626_elicit_27	bambo wina wa kum mawa kwapakati akugulitsa nkhuku m misika ya m misewu 	F	0	10.71
2	221030-121119_nya_394_elicit_29	mayi wovala malaya abuluu akupinda nsalu patebulo 	M	1	4.65
2	221028-153920_nya_394_elicit_25	mnyamata yemwe ali ndi zingwe zotuwa ndi zakuda akuwulutsa cholemba ndi burgle yake pa mic 	M	1	8.96
4	221111-214633_nya_626_elicit_3	bambo wakuda yemwe akuoneka kuti alibe pokhala ndi nsapato zosagwirizana mathalauza awiri ndi jekete lolemera amayesa kutenthetsa manja ake atakhala pakhomo 	F	0	18.65
7	221025-231255_nya_b6c_elicit_11	mayi watsitsi lofiirira waima kuseri kwa kauntala atanyamula pulasitiki 	F	0	8.17
2	221030-124227_nya_394_elicit_36	munthu wovala zida zonse zokwera pamahatchi amawerama pafupi ndi theka lakumbuyo la kavalo wabulauni 	M	1	9.76
3	221114-063718_nya_626_elicit_6	bamboyo akuponya mpira pa mulu wadothi 	F	0	6.28
2	221113-081436_nya_394_elicit_36	banja lina lachikulire likucheza ndi mtsikana wamng ono ndipo onse akumwetulira 	M	1	7.08
3	221114-083438_nya_626_elicit_30	mtsikana wina wovala malaya abuluu akuyenda m mbali mwa msewu ndipo atanyamula chikwangwani cha pinki cholembedwa kuti the rescue 	F	0	10.89
3	221114-055325_nya_626_elicit_45	mayi wina ali ndi chakumwa m manja akumwetulira ndi chinachake pamene mnzake akumuyang ana 	F	0	18.13
2	221028-135800_nya_394_elicit_4	mwamuna wina amene ali ndi kamera ajambula chithunzi m bwalo la njanji pamene ena akuyang ana 	M	1	7.44
2	221026-102358_nya_394_elicit_28	atsikana asanu atsitsi loyera komanso labulauni akhala pansi akuwerengera limodzi mabuku 	M	1	8.05
3	221114-085825_nya_626_elicit_11	munthu wandevu wovala jekete la ubweya akumwetulira chithunzi chakumbuyo kuli kowoneka bwino 	F	0	10.01
4	221111-233812_nya_626_elicit_28	bambo wina wakhala pabenchi kutsogolo kwa nyumba ina imene inasiyidwa 	F	0	6.81
3	221114-085825_nya_626_elicit_17	bambo akuthandiza kamnyamata kuphunzira kukwera njinga 	F	0	5.58
4	221112-003159_nya_626_elicit_34	galu woyera ndi wofiirira akuthamanga mumsewu wafumbi m paki 	F	0	6.99
2	221026-152356_nya_394_elicit_3	mayi wovala malaya oyera akuyang ana kamera pamene amuna awiri akuyang ana kunja kwa kamera 	M	1	7.76
2	221029-190025_nya_394_elicit_11	anthu anayi ovala zipewa akhala pa benchi akudya pamene wachisanu wavala zofiira nkhope kutali 	M	1	9.48
2	221030-101143_nya_394_elicit_47	bambo wina wovala zakuda ali panjinga yabuluu yodulidwa kutsogolo kwa bwalo lamasewera 	M	1	8.85
2	221029-125840_nya_394_elicit_33	mayi wovala malaya abuluu akuika chinachake mkamwa mwake 	M	1	5.24
2	221028-173712_nya_394_elicit_17	kamwana kakhala kakusewera ndi zokongoletsa m munda wawung ono 	M	1	7.3
2	221029-161925_nya_394_elicit_13	mayi wina wachikulire akugawira mkate kwa mwamuna ndi mkazi atavala ma t shirt abuluu komanso mathalauza abulauni 	M	1	10.46
2	221112-185920_nya_394_elicit_50	mzibambo wasamila msana wake mzati wa mwala pa nthawi loguba chipilala 	M	1	7.74
3	221114-051842_nya_626_elicit_2	nkhope ya mkaziyo imagwera m kaonekedwe kake pamene wayima kutsogolo kwadzuwa 	F	0	11.34
2	221030-145157_nya_394_elicit_16	bambo wina wovala yunifolomu yogulitsira nyama waimirira pafupi ndi nyama ziwiri zazikulu za ng ombe 	M	1	9.1
2	221101-145402_nya_394_elicit_48	munthu akukwera pamwamba pa thanthwe pamwamba kumanzere kwa furemu mtengo kumunsi kumanja 	M	1	9.32
4	221111-225532_nya_626_elicit_2	mwamuna akuyendetsa moped ndi chisamaliro chakumbali ndi jeepney kumbuyo 	F	0	7.94
2	221101-113540_nya_394_elicit_28	mayi wina wovala zofiira ndi zoyera wovala magalasi amakhala m chipinda ndi anthu ena 	M	1	7.4
2	221029-190025_nya_394_elicit_13	mnyamata wovala malaya abuluu ndi kabudula wa jean wabuluu akukumbatira kamsungwana kakang ono ka tsitsi labulauni 	M	1	11.43
7	221025-225254_nya_b6c_elicit_18	mtsikana wovala zakuda ndipo wina watsitsi lofiirira atanyamula zikwangwani zomukumbatira kwaulere 	F	0	12.61
2	221101-112237_nya_394_elicit_45	munthu ali panjinga akudumpha m mwamba pamwamba pa chikwangwani cholembedwa kuti eastpak ena amamuyang ana 	M	1	11.68
11	221018-113735_nya_e3d_elicit_2	bambo wina wovala malaya amizeremizere ndi magalasi a maso akukambirana pa telefoni ali m chipinda chake 	F	0	13.59
2	221030-124227_nya_394_elicit_48	wovina yemwe wavala chijasi chofiyira komanso chipewa chachitali chakuda akudumpha mumlengalenga pansi pa chikwangwani chonena kuti ukraine 	M	1	13.52
2	221028-152630_nya_394_elicit_17	mnyamata wamangidwa pampando wagalimoto akupanga nkhope yopusa 	M	1	6.78
2	221112-183906_nya_394_elicit_38	azimai awiri akhala pa tebulo ndi udzu omwera uli mdiliko 	M	1	5.54
3	221114-055325_nya_626_elicit_27	mnyamata wina woweta ng ombe atavala chovala choyera anangovula ng ombe yokwiya 	F	0	9.3
4	221111-213342_nya_626_elicit_41	galu wonyezimira ali ndi lilime likulendewera kukamwa uku akuthamanga pa udzu 	F	0	11.66
7	221026-004257_nya_b6c_elicit_15	mayi wina wokalamba akukankha ngolo yodzaza mazira mumsewu wamsika 	F	0	9.57
2	221030-114647_nya_394_elicit_28	anthu ambiri ovala zovala zamitundumitundu paphwando linalake atakhala pansi ndi kuyima mozungulira 	M	1	8.57
2	221026-135935_nya_394_elicit_35	chombocho chinawuluka mumlengalenga dzuwa likulowa m chizimezime 	M	1	7.4
3	221114-062550_nya_626_elicit_8	anyamata awiri owoneka bwino akusewera ndi legos kuchokera mu bilu yapulasitiki yowoneka bwino yokhala ndi sofa kumbuyo 	F	0	12.82
3	221114-085051_nya_626_elicit_3	gulu la amuna laimirira pafupi ndi mtengo pamene galimoto yothamanga ikubutsa fumbi mumsewu wamiyala pafupi nawo 	F	0	13.2
2	221022-135414_nya_394_elicit_46	galu wakuda ndi woyera wanyamula mpira wabuluu pabwalo la nyumba ina pamalo otentha 	M	1	7.3
3	221114-082649_nya_626_elicit_11	mkwatibwi akuponya maluwa ake m mwamba kumbuyo kwake kwa gulu la amayi 	F	0	10.5
2	221023-174803_nya_394_elicit_38	munthu wovala yunifomu yabuluu waimitsidwa panyumba 	M	1	5.1
3	221114-090743_nya_626_elicit_45	mwana wovala jekete la denim atakhala pachidole chofiira chagalimoto akuyang ana njinga ya anthu ndikuyenda mumsewu 	F	0	10.07
4	221111-222234_nya_626_elicit_22	mwana amatsamira pachionetsero chopangidwa ndi pulasitiki wabuluu ndi wachikasu pamene wamkulu akuyang ana 	F	0	13.2
3	221114-070800_nya_626_elicit_28	anthu awiri akukwera njinga m mbali mwa msewu yemwe ali kutsogolo wavala chisoti 	F	0	7.44
2	221101-141218_nya_394_elicit_29	atsikana anayi ndi anyamata awiri akudumpha m mwamba kutsogolo kwa zitseko zagalasi ku nyumba 	M	1	7.64
7	221025-235408_nya_b6c_elicit_16	mwamuna wovala malaya otuwa akugwedeza mipira isanu ndi umodzi yakuda ndi yoyera 	F	0	9.53
3	221114-055325_nya_626_elicit_44	mbalame yakuda ndi yoyera yokhala ndi mlomo wachikasu ikuwuluka 	F	0	9.1
4	221111-213342_nya_626_elicit_39	amuna ndi akazi amasonkhana kuti apeze chakudya pamalo otsika 	F	0	6.15
3	221114-084253_nya_626_elicit_28	mtsikana akutseka maso ake pamene akugwedeza mileme ndikuphonya mpirawo 	F	0	11.28
4	221111-234816_nya_626_elicit_41	mnyamata wina wothamanga wavala thukuta la teaal ndi malaya amtundu wa nike ndipo ali ndi racket ya tenisi 	F	0	9.1
2	221028-173712_nya_394_elicit_42	mayi wovala malaya akuda ndi chithunzi cha mkazi wina womangidwa kwa iye 	M	1	6.44
2	221101-121530_nya_394_elicit_2	mwamuna wovala suti ya lalanje ndi sweatshirt yotuwa akugwira ntchito m mphepete mwa njanji 	M	1	7.1
2	221030-095301_nya_394_elicit_48	mnyamata wovala malaya ofiira ndi ma skateboard a jeans pamwamba pazithunzi zojambulidwa 	M	1	7.96
3	221114-090743_nya_626_elicit_32	wosewera pa skateboarder amachita chinyengo panjanji pomwe anthu ena akudutsa akuwonera 	F	0	9.48
3	221114-085051_nya_626_elicit_6	bambo wina atakwera njinga atavala jinzi akuimba nyimbo yamphepo m mbali mwa njanji ya dothi yokhala ndi zolemba pafupi ndi njanji 	F	0	13.66
7	221026-002221_nya_b6c_elicit_31	mwana wamng ono akutsika phiri la chipale chofewa ndipo chipale chofewa chikuwuluka mozungulira pafupi ndi matayala 	F	0	12.05
2	221101-131437_nya_394_elicit_5	gulu la amuna likunyamula zinyalala zakuda kudutsa m mphepete mwa nyanja pafupi ndi galimoto yonyamula katundu ndi bulldozer 	M	1	10.96
9	221002-191144_nya_97d_elicit_18	mwana wamng ono wa tsitsi loderapo pamapewa atavala malaya achikasu ndi thalauza lapinki akuyenda akudya zokondwa kuchokera m thumba la zipi 	F	0	16.2
2	221113-072748_nya_394_elicit_8	galu woyera ndi wabulauni akuthamanga muudzu 	M	1	3.97
2	221101-174201_nya_394_elicit_48	bambo ndi galu akuyenda pansi pa masitepe a simenti pomwe mkazi atavala mpango kumutu akuyang ana ali pansi pa sitepe yapansi 	M	1	11.75
2	221026-111146_nya_394_elicit_48	mnyamata wovala malaya achikasu ndi akuda amafika ku chipale chofewa 	M	1	6.42
3	221114-083438_nya_626_elicit_12	mwamuna wopanda malaya wovala kabudula wakuda wothamanga ndi mkazi wovala t sheti yakuda ndi kabudula wofiira akuthamangira limodzi m paki 	F	0	14.41
2	221026-135935_nya_394_elicit_28	mwana wakhanda amam sambitsa m bafa laling ono lodzadza ndi madzi amadzi amadzimadzi pamene manja a makolo ake amam chapa pang onopang ono 	M	1	13.52
7	221025-232508_nya_b6c_elicit_17	agalu awiri amathamanga m malo a udzu omwe azunguliridwa ndi mitengo 	F	0	7.44
